booker_id,property_id,room_nights,price_per_night,checkin_day,for_business,status,review_score
215934017ba98c09f30dedd29237b43dad5c7b5f,2668,4,91.46695614427733,mon,FALSE,cancelled,NA
7f590fd6d318248a48665f7f7db529aca40c84f5,4656,5,106.50499761681627,tue,FALSE,cancelled,NA
10f0f138e8bb1015d3928f2b7d828cbb50cd0804,4563,6,86.99137396257129,wed,FALSE,stayed,6.258122656723994
7b55021a4160dde65e31963fa55a096535bcad17,4088,7,92.36561551390527,fri,FALSE,stayed,5.953597754692999
6694a79d158c7818cd63831b71bac91286db5aff,2188,4,104.83894190274744,tue,FALSE,stayed,6.434744895395846
d0358740d5f15e85523f94ab8219f25d8c017347,4171,2,109.98187649504547,fri,FALSE,cancelled,NA
944e568a0b511b9140bcc7c7c80c68c3edd3a86f,2907,4,116.24676327940591,fri,FALSE,stayed,7.599460836928477
95476c2ef6bb9e3c227b46f1283310737fa13b7a,5141,4,111.46075393791705,wed,FALSE,cancelled,NA
df235631a4c281c01e007b6a4c364e07f5843994,1696,1,106.42351559956775,wed,FALSE,stayed,6.972698093554451
ff610140227d40d27daa01f0dcd5d64ea82e833d,1901,7,82.25316708897678,sat,FALSE,cancelled,NA
aeff2e2d3d23b176ac4cb68248ec28eb9566cfb0,2188,1,109.38269780156075,wed,FALSE,stayed,NA
5a1442f4c7237ec54549bb300ad6bc2ae82fe618,2307,9,84.24045903780964,sat,FALSE,stayed,8.883866804682672
39804a2e3fb2e4c61d7c7bed93bf1e9c0589e0cc,2907,6,111.72550063260292,sun,FALSE,stayed,8.525107925284297
e150e559405ef29b368fa62a633f4fdda28f573d,2870,4,127.48475627641322,sat,FALSE,stayed,7.873831885027521
4e9c7c21dfcf27583e7067cf05e0cf75f4c9aeea,1674,5,101.59571886352315,sun,FALSE,stayed,6.725491059218707
4a2b8eaf63613548c507e13f8c06162956038c30,2885,5,86.3140377602529,fri,FALSE,stayed,6.733794127663626
ef55df1bfe37dca849d135526d8c6dc5847a5342,3584,2,138.33667751102558,fri,FALSE,stayed,8.455920308800632
